TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location
PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN,-114.1971615208791,51.123333552258295,"(51.123333552258295, -114.1971615208791)"
Community Centre,Copperfield & Mahogany Community Center,6 Copperstone Way SE,CPF,-113.93244829251158,50.91485982683862,"(50.91485982683862, -113.93244829251158)"
Community Centre,Whitehorn Community Centre,228 Whitehorn RD NE,WHI,-113.96694996868959,51.08878861800125,"(51.08878861800125, -113.96694996868959)"
Attraction,Spruce Meadows Equestrian Centre,18011 Spruce Meadows WY SW,,-114.09433006613926,50.88956489509549,"(50.88956489509549, -114.09433006613926)"
Community Centre,Millican/Ogden/Lynnwood Community Centre,6901 20A ST SE,OGD,-114.01085136252242,50.991471359578625,"(50.991471359578625, -114.01085136252242)"
Community Centre,North Haven Community Centre,5003 North Haven DR NW,NHV,-114.08662318987814,51.099097726092864,"(51.099097726092864, -114.08662318987814)"
Attraction,Calgary Tower,101 9 AV SW,DNC,-114.06311258857386,51.04448023768848,"(51.04448023768848, -114.06311258857386)"
Community Centre,Abbeydale Community Centre,821 Abbeydale DR NE,ABB,-113.93202249812654,51.05961291015646,"(51.05961291015646, -113.93202249812654)"
Visitor Info,Calgary Chamber of Commerce,600 237 8 AV SE,DNC,-114.05836753988049,51.0451849276814,"(51.0451849276814, -114.05836753988049)"
Community Centre,Richmond/Knob Hill Community Centre,2433 26 AV SW,RIC,-114.11703482233399,51.02992081967741,"(51.02992081967741, -114.11703482233399)"
Attraction,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,-114.05792721563786,51.04539970470251,"(51.04539970470251, -114.05792721563786)"
